[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SELECT u.id,u.username,u.names,u.mobile,u.status,u.timeadd,u.lasttime,at.title,au.username as addusername,case when u.status=0 then '已禁用' when u.status=1 then '使用中' end as statusname FROM user u LEFT JOIN auth_type at on at.id=u.typeid LEFT JOIN auth_group ag on ag.id=u.groupid LEFT JOIN (select username,id as addid from user) as au on au.addid=u.adduser WHERE ( u.groupid = 1 ) ORDER BY u.groupid,u.timeadd LIMIT 0,15   [ RunTime:0.005366s ]

[ 2017-06-16T15:18:15+08:00 ] 127.0.0.1 /User/add/groupid/2
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007344s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005951s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SELECT * FROM `auth_group`  [ RunTime:0.005940s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SHOW COLUMNS FROM `auth_rule` [ RunTime:0.006574s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006232s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005488s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.008273s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.007294s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005614s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SELECT * FROM `auth_group`  [ RunTime:0.006492s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.006012s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007183s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005837s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SHOW COLUMNS FROM `channel_company` [ RunTime:0.007429s ]
[ 2017-06-16T15:18:15+08:00 ] /User/add/groupid/2 | SQL: SELECT `id`,`companyname` FROM `channel_company`  [ RunTime:0.005574s ]

[ 2017-06-16T15:18:16+08:00 ] 127.0.0.1 /User/index.html
[ 2017-06-16T15:18:16+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.009645s ]
[ 2017-06-16T15:18:16+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.005803s ]
[ 2017-06-16T15:18:16+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.006131s ]
