[ 2017-06-28T15:12:17+08:00 ] 127.0.0.1 /Member/Login?redirecturl=Member%2Faccount
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Tag[ view_filter ] --START--
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Run ContentReplace Behavior [ RunTime:0.000449s ]
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Run TokenBuild Behavior [ RunTime:0.000274s ]
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000202s ]
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Run ShowRuntime Behavior [ RunTime:0.000286s ]
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001295s ]
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Tag[ view_end ] --START--
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Run ShowPageTrace Behavior [ RunTime:0.000271s ]
[ 2017-06-28T15:12:17+08:00 ] /Member/Login?redirecturl=Member%2Faccount | INFO: Tag[ view_end ] --END-- [ RunTime:0.000295s ]

[ 2017-06-28T15:12:17+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-06-28T15:12:17+08:00 ]  127.0.0.1 /favicon.ico | ERR: (ThinkException) 无法加载模块Favicon.ico
[ 2017-06-28T15:12:32+08:00 ] 127.0.0.1 /Member/bank_card
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | INFO: Tag[ route_check ] --START--
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | INFO: Run CheckRoute Behavior [ RunTime:0.000371s ]
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | INFO: Tag[ route_check ] --END-- [ RunTime:0.000425s ]
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | INFO: Tag[ app_begin ] --START--
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000281s ]
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000305s ]
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | NOTIC: [8] Undefined variable: system CommonAction.class.php 第 129 行.
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | NOTIC: [8] Undefined index: token CommonAction.class.php 第 63 行.
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | INFO: Tag[ view_template ] --START--
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | INFO: Run LocationTemplate Behavior [ RunTime:0.000533s ]
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | INFO: Tag[ view_template ] --END-- [ RunTime:0.000558s ]
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | INFO: Tag[ view_parse ] --START--
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2017-06-28T15:12:32+08:00 ] /Member/bank_card | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
